Np,Time,Bandwidth_GBs,Performance_MFLOPs
256,0.275282837,29.758484362030895,0.0
512,0.248200008,34.60892149528053,0.0
1024,0.265176574,32.39326333554637,0.0
2048,0.237425813,36.17944689105897,0.0
4096,0.27411301,31.337201368151042,0.0
8192,0.219785982,39.083177706938564,0.0
16384,0.250187782,34.333949177422255,0.0
32768,0.310948836,27.624913160954875,0.0
65536,0.311404555,27.584486013700086,0.0
131072,0.311147802,27.6072481848996,0.0
262144,0.310961906,27.623752061771835,0.0
524288,0.310274397,27.684961037890602,0.0
1048576,0.316538124,27.137124853877,0.0
2097152,0.629314748,13.649663573433369,0.0
4194304,0.635819148,13.510028156622928,0.0
8388608,0.637095411,13.482964158409233,0.0
16777216,0.633292743,13.563923930832095,0.0
33554432,0.635746489,13.511572207833304,0.0
67108864,0.635838443,13.509618184567678,0.0
134217728,0.635857708,13.509208874762905,0.0
268435456,0.635172037,13.523792124998726,0.0
536870912,0.634965574,13.528189470001093,0.0
