Np,Time,Bandwidth_GBs,Performance_MFLOPs
256,0.393360484,0.0,2603.210138413395
512,0.443377071,0.0,2421.735119450956
1024,0.46100473,0.0,2329.1340720083285
2048,0.466671324,0.0,2300.8523746361584
4096,0.471367095,0.0,2277.9312247071466
8192,0.475618583,0.0,2257.569116049446
16384,0.479385851,0.0,2239.8279418555476
32768,0.47882295,0.0,2242.461068334339
65536,0.474658754,0.0,2262.134248976687
131072,0.474448418,0.0,2263.137115149997
262144,0.474264578,0.0,2264.014378910668
524288,0.49980772,0.0,2148.309802017464
1048576,0.474853433,0.0,2261.2068258965287
2097152,0.474350924,0.0,2263.6022608443363
4194304,0.475065648,0.0,2260.196729694924
8388608,0.474314558,0.0,2263.7758126749295
16777216,0.47428633,0.0,2263.910545345045
33554432,0.474378653,0.0,2263.469945811411
67108864,0.474229473,0.0,2264.1819733544903
134217728,0.47446301,0.0,2263.0675128921007
268435456,0.474410229,0.0,2263.319292805552
536870912,0.474543335,0.0,2262.6844479861884
