Np,Time,Bandwidth_GBs,Performance_MFLOPs
256,0.337862138,48.493151961289016,3030.8219975805637
512,0.481217704,35.70082530463177,2231.3015815394856
1024,0.481966878,35.64533159475743,2227.8332246723394
2048,0.530656749,32.37473040034774,2023.4206500217335
4096,0.536267207,32.036024130783744,2002.2515081739841
8192,0.537198327,31.980496439632432,1998.781027477027
16384,0.52085764,32.983809518470345,2061.4880949043963
32768,0.530040826,32.412350787484435,2025.771924217777
65536,0.528653343,32.49741898255621,2031.0886864097633
131072,0.530187619,32.40337678273849,2025.2110489211557
262144,0.538129092,31.92518196730386,1995.3238729564912
524288,0.571014365,30.086579667746186,1880.4112292341365
1048576,1.099947237,15.618812072164875,976.1757545103047
2097152,1.118861488,15.354777484306439,959.6735927691524
4194304,1.127807882,15.232974922585264,952.060932661579
8388608,1.128141786,15.22846631265549,951.7791445409682
16777216,1.11799817,15.366634440913263,960.414652557079
33554432,1.120314091,15.33486842842897,958.4292767768106
67108864,1.117002141,15.380336843955968,961.2710527472481
134217728,1.116484917,15.387461955296615,961.7163722060385
268435456,1.123114616,15.296630405529331,956.0394003455832
536870912,1.121452232,15.319305355843278,957.4565847402049
