ProblemSize,E2ETime,AlgoTime
2,7.157878065520641e-05,4.2499728497287213e-07
4,2.684181790223116e-06,5.039883387017111e-07
8,6.277276485660478e-06,1.1725986965410937e-06
16,2.8205055343678887e-05,7.811337221436927e-06
32,0.00013156963770297831,6.787278448141114e-05
64,0.000851292515174166,0.0006097172728855811
128,0.006534267195200579,0.0057283894187371
256,0.043299349184195854,0.04113438172498606
512,0.19717261307833248,0.17320230713264534
1024,1.4044279856589297,1.278787381389303
2048,76.07363901058918,70.46680263685532
4096,593.4872794337325,563.8129154620459
