ProblemSize,E2ETime,AlgoTime
2,9.087391982834592e-05,2.9642589785703272e-05
4,1.794127811162635e-05,1.6313560454885437e-05
8,1.1424479162634832e-05,6.196829052846881e-06
16,2.1374366604873377e-05,6.896853383228522e-06
32,8.403483783928339e-05,3.267033139068804e-05
64,0.00030322222607879183,0.00011134946662904184
128,0.001555373816441451,0.0007481382847869947
256,0.008313181373354041,0.004578263224639397
512,0.04047332944995468,0.028534943815617393
1024,0.15717020167418472,0.13159931984075193
2048,1.260668100664618,1.197634695631387
4096,10.349748725757456,9.832261289469583
