ProblemSize,E2ETime,AlgoTime
2,1.2066055469026318e-06,1.9824039141706332e-07
4,1.0735215177511139e-06,2.1318542642449156e-07
8,2.835008871199328e-06,3.2707454821806684e-07
16,1.4008888234545723e-05,1.078200672984145e-06
32,4.9431166702851564e-05,6.277742811880712e-06
64,0.00018371179978628608,3.112797360507908e-05
128,0.0008331784899217523,0.00024344493787359212
256,0.004564061088054855,0.002701744382091303
512,0.02980022846826525,0.021934719935905265
1024,0.20594412572586235,0.16540139279699362
2048,3.5137061066764916,3.1346231467712413
4096,32.44851908495242,30.826093130704802
