ProblemSize,E2ETime,AlgoTime
2,2.6603462893256924e-05,2.5273289748594075e-05
4,6.338387850454834e-06,5.039864907170782e-06
8,7.924326626024112e-06,4.842838583163314e-06
16,1.8638224813979986e-05,6.259140965765438e-06
32,5.973656211130625e-05,1.1328108596466327e-05
64,0.00018745776215837068,3.426238204106372e-05
128,0.0007358536161625756,0.000174156444223331
256,0.0031040486819744915,0.0009758807908334883
512,0.01760199749072671,0.007013897453797698
1024,0.07424170065007989,0.040614208114509415
2048,0.4830661012251392,0.32016847921978
4096,3.0885359332176208,2.889695397188145
