Grid_NX,Grid_NY,Iter,Interp_Time_s
250,100,1,0.550000
250,100,2,0.550000
250,100,3,0.550000
250,100,4,0.540000
250,100,5,0.550000
250,100,6,0.550000
250,100,7,0.550000
250,100,8,0.550000
250,100,9,0.540000
250,100,10,0.550000
500,200,1,0.730000
500,200,2,0.730000
500,200,3,0.720000
500,200,4,0.720000
500,200,5,0.720000
500,200,6,0.720000
500,200,7,0.720000
500,200,8,0.730000
500,200,9,0.720000
500,200,10,0.720000
1000,400,1,0.770000
1000,400,2,0.760000
1000,400,3,0.770000
1000,400,4,0.760000
1000,400,5,0.770000
1000,400,6,0.770000
1000,400,7,0.760000
1000,400,8,0.770000
1000,400,9,0.760000
1000,400,10,0.770000
