Grid_NX,Grid_NY,Iter,Interp_Time_s
250,100,1,0.259805
250,100,2,0.260089
250,100,3,0.262964
250,100,4,0.261606
250,100,5,0.260753
250,100,6,0.261075
250,100,7,0.265500
250,100,8,0.262465
250,100,9,0.259269
250,100,10,0.260649
500,200,1,0.287176
500,200,2,0.288654
500,200,3,0.287185
500,200,4,0.285893
500,200,5,0.288216
500,200,6,0.287069
500,200,7,0.287979
500,200,8,0.286742
500,200,9,0.292547
500,200,10,0.294157
1000,400,1,1.080598
1000,400,2,1.082244
1000,400,3,1.071765
1000,400,4,1.080290
1000,400,5,1.081835
1000,400,6,1.080673
1000,400,7,1.078390
1000,400,8,1.079179
1000,400,9,1.082340
1000,400,10,1.077508
