Iter,Interp_Time_s,Serial_Mover_Time_s,Parallel_Mover_Clock_s,Parallel_Mover_Wall_s,Total_Serial_s,Total_Parallel_Wall_s,Speedup_Wall
1,0.110000,0.240000,0.170000,0.043438,0.350000,0.153438,5.5300
2,0.110000,0.510000,0.160000,0.041060,0.620000,0.151060,12.4200
3,0.110000,0.510000,0.180000,0.048558,0.620000,0.158558,10.5000
4,0.110000,0.510000,0.170000,0.041473,0.620000,0.151473,12.3000
5,0.110000,0.510000,0.160000,0.040975,0.620000,0.150975,12.4500
6,0.110000,0.510000,0.170000,0.041021,0.620000,0.151021,12.4300
7,0.110000,0.510000,0.160000,0.041767,0.620000,0.151767,12.2100
8,0.120000,0.510000,0.160000,0.040974,0.630000,0.160974,12.4500
9,0.110000,0.510000,0.160000,0.041000,0.620000,0.151000,12.4400
10,0.110000,0.510000,0.160000,0.041164,0.620000,0.151164,12.3900
