Iter,Interp_Time_s,Serial_Mover_Time_s,Parallel_Mover_Clock_s,Parallel_Mover_Wall_s,Total_Serial_s,Total_Parallel_Wall_s,Speedup_Wall
1,0.150696,0.330817,0.100580,0.025665,0.481513,0.176361,12.8900
2,0.196496,0.334746,0.100699,0.025449,0.531242,0.221945,13.1534
3,0.189658,0.318940,0.095521,0.024354,0.508598,0.214012,13.0962
4,0.187365,0.320831,0.097445,0.024566,0.508196,0.211931,13.0602
5,0.186395,0.316327,0.092407,0.023795,0.502722,0.210190,13.2940
6,0.188547,0.316792,0.100040,0.025302,0.505339,0.213849,12.5205
7,0.189029,0.314701,0.094805,0.024127,0.503730,0.213156,13.0436
8,0.188385,0.316247,0.113798,0.028670,0.504632,0.217055,11.0307
9,0.187825,0.314096,0.099443,0.025006,0.501921,0.212831,12.5606
10,0.190663,0.316525,0.094937,0.024219,0.507188,0.214882,13.0691
