Grid_NX,Grid_NY,Particle_Count,Total_Interp_Time_s,Total_Mover_Time_s,Total_Time_s
250,100,100,0.000000,0.000000,0.000000
250,100,10000,0.000000,0.000000,0.000000
250,100,1000000,0.040000,0.140000,0.180000
250,100,100000000,5.450000,13.830000,19.280000
500,200,100,0.000000,0.000000,0.000000
500,200,10000,0.000000,0.010000,0.010000
500,200,1000000,0.090000,0.130000,0.220000
500,200,100000000,7.200000,13.750000,20.950000
1000,400,100,0.000000,0.000000,0.000000
1000,400,10000,0.000000,0.000000,0.000000
1000,400,1000000,0.090000,0.120000,0.210000
1000,400,100000000,7.730000,13.720000,21.450000
