Grid_NX,Grid_NY,Particle_Count,Total_Interp_Time_s,Total_Mover_Time_s,Total_Time_s
250,100,100,0.000004,0.000008,0.000012
250,100,10000,0.000270,0.000675,0.000945
250,100,1000000,0.027378,0.068199,0.095577
250,100,100000000,2.588574,6.864252,9.452826
500,200,100,0.000005,0.000010,0.000015
500,200,10000,0.000286,0.000630,0.000916
500,200,1000000,0.029313,0.063115,0.092428
500,200,100000000,2.861247,6.794714,9.655961
1000,400,100,0.000013,0.000009,0.000022
1000,400,10000,0.001085,0.000610,0.001695
1000,400,1000000,0.109261,0.064234,0.173495
1000,400,100000000,10.830743,6.731881,17.562624
