Grid_NX,Grid_NY,Particle_Count,Total_Interp_Time_s,Total_Mover_Time_s,Total_Time_s
250,100,100,0.000000,0.000000,0.000000
250,100,10000,0.000000,0.000000,0.000000
250,100,1000000,0.060000,0.120000,0.180000
250,100,100000000,5.440000,12.580000,18.020000
500,200,100,0.000000,0.000000,0.000000
500,200,10000,0.000000,0.000000,0.000000
500,200,1000000,0.070000,0.120000,0.190000
500,200,100000000,7.100000,12.210000,19.310000
1000,400,100,0.000000,0.000000,0.000000
1000,400,10000,0.010000,0.000000,0.010000
1000,400,1000000,0.010000,0.190000,0.200000
1000,400,100000000,7.660000,12.200000,19.860000
