Grid_NX,Grid_NY,Particle_Count,Total_Interp_Time_s,Total_Mover_Time_s,Total_Time_s
250,100,100,0.000006,0.000010,0.000016
250,100,10000,0.000280,0.000658,0.000938
250,100,1000000,0.029588,0.065498,0.095086
250,100,100000000,2.672510,6.138291,8.810801
500,200,100,0.000005,0.000010,0.000015
500,200,10000,0.000280,0.000598,0.000878
500,200,1000000,0.028837,0.058871,0.087708
500,200,100000000,2.990919,6.152232,9.143151
1000,400,100,0.000012,0.000008,0.000020
1000,400,10000,0.001057,0.000584,0.001641
1000,400,1000000,0.105855,0.058893,0.164748
1000,400,100000000,10.580596,6.082973,16.663569
