Grid_NX,Grid_NY,Num_Threads,Total_Interp_Time_s,Total_Mover_Time_s,Total_Time_s,Mover_Speedup
250,100,1,0.810000,2.120036,2.930036,1.0000
250,100,2,0.770000,1.075169,1.845169,1.9718
250,100,4,0.790000,0.675514,1.465514,3.1384
250,100,8,0.840000,0.446398,1.286398,4.7492
250,100,16,0.980000,0.663912,1.643912,3.1932
500,200,1,1.020000,1.948393,2.968393,1.0000
500,200,2,1.000000,1.185246,2.185246,1.6439
500,200,4,1.020000,0.690877,1.710877,2.8202
500,200,8,1.090000,0.459300,1.549300,4.2421
500,200,16,1.170000,0.615504,1.785504,3.1655
1000,400,1,1.060000,1.889401,2.949401,1.0000
1000,400,2,1.290000,1.338282,2.628282,1.4118
1000,400,4,1.250000,0.929567,2.179567,2.0326
1000,400,8,1.150000,0.441452,1.591452,4.2800
1000,400,16,1.240000,0.508986,1.748986,3.7121
