Grid_NX,Grid_NY,Num_Threads,Total_Interp_Time_s,Total_Mover_Time_s,Total_Time_s,Mover_Speedup
250,100,1,0.383714,1.018521,1.402235,1.0000
250,100,2,0.474310,0.570665,1.044975,1.7848
250,100,4,0.730595,0.414698,1.145293,2.4561
250,100,8,1.216378,0.388237,1.604615,2.6234
250,100,16,0.382692,0.397575,0.780267,2.5618
500,200,1,0.411469,0.992640,1.404109,1.0000
500,200,2,0.536389,0.599275,1.135664,1.6564
500,200,4,0.763522,0.407380,1.170902,2.4366
500,200,8,1.238338,0.388238,1.626576,2.5568
500,200,16,0.421605,0.402254,0.823859,2.4677
1000,400,1,1.514243,0.964181,2.478424,1.0000
1000,400,2,1.606923,0.545638,2.152561,1.7671
1000,400,4,1.840669,0.370354,2.211023,2.6034
1000,400,8,2.345368,0.375251,2.720619,2.5694
1000,400,16,1.474619,0.388086,1.862705,2.4845
