Grid_NX,Grid_NY,Num_Threads,Total_Interp_Time_s,Total_Mover_Time_s,Total_Time_s,Mover_Speedup
250,100,1,0.740000,1.711925,2.451925,1.0000
250,100,2,0.770000,0.885278,1.655278,1.9338
250,100,4,0.770000,0.450177,1.220177,3.8028
250,100,8,0.860000,0.315633,1.175633,5.4238
250,100,16,0.980000,0.236889,1.216889,7.2267
500,200,1,1.000000,1.706315,2.706315,1.0000
500,200,2,1.000000,0.884019,1.884019,1.9302
500,200,4,1.020000,0.584598,1.604598,2.9188
500,200,8,1.090000,0.354175,1.444175,4.8177
500,200,16,1.220000,0.229161,1.449161,7.4459
1000,400,1,1.100000,1.703781,2.803781,1.0000
1000,400,2,1.110000,0.883363,1.993363,1.9287
1000,400,4,1.140000,0.473561,1.613561,3.5978
1000,400,8,1.190000,0.252142,1.442142,6.7572
1000,400,16,1.250000,0.237777,1.487777,7.1655
