Grid_NX,Grid_NY,Num_Threads,Total_Interp_Time_s,Total_Mover_Time_s,Total_Time_s,Mover_Speedup
250,100,1,0.870000,2.421770,3.291770,1.0000
250,100,2,0.760000,1.212506,1.972506,1.9973
250,100,4,0.790000,0.613298,1.403298,3.9488
250,100,8,0.830000,0.323857,1.153857,7.4779
250,100,16,0.970000,0.253754,1.223754,9.5438
500,200,1,1.000000,2.264980,3.264980,1.0000
500,200,2,1.010000,1.140023,2.150023,1.9868
500,200,4,1.000000,0.582087,1.582087,3.8911
500,200,8,1.080000,0.325137,1.405137,6.9662
500,200,16,1.230000,0.255751,1.485751,8.8562
1000,400,1,1.070000,2.265705,3.335705,1.0000
1000,400,2,1.110000,1.134863,2.244863,1.9965
1000,400,4,1.110000,0.584762,1.694762,3.8746
1000,400,8,1.180000,0.351350,1.531350,6.4486
1000,400,16,1.280000,0.248490,1.528490,9.1179
