Grid_NX,Grid_NY,Num_Threads,Total_Interp_Time_s,Total_Mover_Time_s,Total_Time_s,Mover_Speedup
250,100,1,0.376095,0.857101,1.233196,1.0000
250,100,2,0.475846,0.434819,0.910665,1.9712
250,100,4,0.703837,0.243195,0.947032,3.5243
250,100,8,1.210768,0.238793,1.449561,3.5893
250,100,16,0.368696,0.249178,0.617874,3.4397
500,200,1,0.399820,0.832406,1.232226,1.0000
500,200,2,0.513197,0.432764,0.945961,1.9235
500,200,4,0.735984,0.243264,0.979248,3.4218
500,200,8,1.259880,0.235541,1.495421,3.5340
500,200,16,0.408558,0.249023,0.657581,3.3427
1000,400,1,1.482770,0.828045,2.310815,1.0000
1000,400,2,1.590306,0.434308,2.024614,1.9066
1000,400,4,1.826822,0.243578,2.070400,3.3995
1000,400,8,2.322978,0.242370,2.565348,3.4164
1000,400,16,1.519590,0.251532,1.771122,3.2920
