Grid_NX,Grid_NY,Num_Threads,Total_Interp_Time_s,Total_Mover_Time_s,Total_Time_s,Mover_Speedup
250,100,1,0.378844,0.833430,1.212274,1.0000
250,100,2,0.508974,0.447023,0.955997,1.8644
250,100,4,0.712904,0.242796,0.955700,3.4326
250,100,8,1.217911,0.239781,1.457692,3.4758
250,100,16,0.421457,0.286954,0.708411,2.9044
500,200,1,0.427554,0.873436,1.300990,1.0000
500,200,2,0.507751,0.415346,0.923097,2.1029
500,200,4,0.742466,0.242788,0.985254,3.5975
500,200,8,1.267759,0.257095,1.524854,3.3973
500,200,16,0.426727,0.266983,0.693710,3.2715
1000,400,1,1.392774,0.889264,2.282038,1.0000
1000,400,2,1.652461,0.442944,2.095405,2.0076
1000,400,4,1.857362,0.235731,2.093093,3.7724
1000,400,8,2.362334,0.244270,2.606604,3.6405
1000,400,16,1.496894,0.251567,1.748461,3.5349
