config,NX,NY,num_points,method,threads,efficiency_pct
a,250,100,900000,atomic,1,22.61
a,250,100,900000,atomic,2,11.15
a,250,100,900000,atomic,4,8.99
a,250,100,900000,atomic,8,7.91
a,250,100,900000,atomic,16,3.23
a,250,100,900000,reduction,1,102.00
a,250,100,900000,reduction,2,91.53
a,250,100,900000,reduction,4,81.33
a,250,100,900000,reduction,8,71.82
a,250,100,900000,reduction,16,13.65
a,250,100,900000,reduction_unrolled,1,119.49
a,250,100,900000,reduction_unrolled,2,110.34
a,250,100,900000,reduction_unrolled,4,96.94
a,250,100,900000,reduction_unrolled,8,82.96
a,250,100,900000,reduction_unrolled,16,13.80
b,250,100,5000000,atomic,1,22.37
b,250,100,5000000,atomic,2,11.01
b,250,100,5000000,atomic,4,8.90
b,250,100,5000000,atomic,8,7.86
b,250,100,5000000,atomic,16,3.57
b,250,100,5000000,reduction,1,100.85
b,250,100,5000000,reduction,2,93.89
b,250,100,5000000,reduction,4,87.10
b,250,100,5000000,reduction,8,79.53
b,250,100,5000000,reduction,16,17.09
b,250,100,5000000,reduction_unrolled,1,115.19
b,250,100,5000000,reduction_unrolled,2,112.84
b,250,100,5000000,reduction_unrolled,4,103.18
b,250,100,5000000,reduction_unrolled,8,91.35
b,250,100,5000000,reduction_unrolled,16,24.09
c,500,200,3600000,atomic,1,31.97
c,500,200,3600000,atomic,2,18.73
c,500,200,3600000,atomic,4,14.24
c,500,200,3600000,atomic,8,12.18
c,500,200,3600000,atomic,16,5.63
c,500,200,3600000,reduction,1,97.30
c,500,200,3600000,reduction,2,93.45
c,500,200,3600000,reduction,4,87.63
c,500,200,3600000,reduction,8,78.78
c,500,200,3600000,reduction,16,18.99
c,500,200,3600000,reduction_unrolled,1,127.49
c,500,200,3600000,reduction_unrolled,2,123.17
c,500,200,3600000,reduction_unrolled,4,116.26
c,500,200,3600000,reduction_unrolled,8,102.08
c,500,200,3600000,reduction_unrolled,16,24.90
d,500,200,20000000,atomic,1,32.92
d,500,200,20000000,atomic,2,19.38
d,500,200,20000000,atomic,4,14.77
d,500,200,20000000,atomic,8,12.52
d,500,200,20000000,atomic,16,6.07
d,500,200,20000000,reduction,1,101.26
d,500,200,20000000,reduction,2,98.14
d,500,200,20000000,reduction,4,93.33
d,500,200,20000000,reduction,8,87.21
d,500,200,20000000,reduction,16,45.99
d,500,200,20000000,reduction_unrolled,1,139.15
d,500,200,20000000,reduction_unrolled,2,133.41
d,500,200,20000000,reduction_unrolled,4,125.45
d,500,200,20000000,reduction_unrolled,8,115.04
d,500,200,20000000,reduction_unrolled,16,49.06
e,1000,400,14000000,atomic,1,34.16
e,1000,400,14000000,atomic,2,22.51
e,1000,400,14000000,atomic,4,18.31
e,1000,400,14000000,atomic,8,15.42
e,1000,400,14000000,atomic,16,6.44
e,1000,400,14000000,reduction,1,99.55
e,1000,400,14000000,reduction,2,94.79
e,1000,400,14000000,reduction,4,70.60
e,1000,400,14000000,reduction,8,37.91
e,1000,400,14000000,reduction,16,25.62
e,1000,400,14000000,reduction_unrolled,1,133.37
e,1000,400,14000000,reduction_unrolled,2,123.32
e,1000,400,14000000,reduction_unrolled,4,83.02
e,1000,400,14000000,reduction_unrolled,8,36.36
e,1000,400,14000000,reduction_unrolled,16,26.82
