method,config,NX,NY,num_points,threads,best_time_s,avg_time_s,speedup_vs_serial,run1_s,run2_s,run3_s
serial,a,250,100,900000,1,0.060000,0.066667,1.0000,0.070000,0.070000,0.060000
atomic,a,250,100,900000,1,0.265379,0.266004,0.2261,0.266984,0.265379,0.265649
atomic,a,250,100,900000,2,0.268997,0.270551,0.2231,0.270160,0.268997,0.272497
atomic,a,250,100,900000,4,0.166910,0.168635,0.3595,0.171688,0.167308,0.166910
atomic,a,250,100,900000,8,0.094795,0.099885,0.6329,0.109653,0.094795,0.095206
atomic,a,250,100,900000,16,0.116152,0.123505,0.5166,0.121235,0.116152,0.133127
reduction,a,250,100,900000,1,0.058824,0.059413,1.0200,0.058824,0.059227,0.060188
reduction,a,250,100,900000,2,0.032775,0.032984,1.8307,0.032775,0.033237,0.032941
reduction,a,250,100,900000,4,0.018444,0.018568,3.2531,0.018536,0.018444,0.018725
reduction,a,250,100,900000,8,0.010443,0.016876,5.7455,0.029153,0.011032,0.010443
reduction,a,250,100,900000,16,0.027470,0.028323,2.1842,0.028712,0.028788,0.027470
reduction_unrolled,a,250,100,900000,1,0.050213,0.050926,1.1949,0.050213,0.051788,0.050777
reduction_unrolled,a,250,100,900000,2,0.027188,0.027431,2.2069,0.027515,0.027188,0.027590
reduction_unrolled,a,250,100,900000,4,0.015473,0.020744,3.8777,0.031224,0.015473,0.015536
reduction_unrolled,a,250,100,900000,8,0.009041,0.013123,6.6364,0.020804,0.009041,0.009525
reduction_unrolled,a,250,100,900000,16,0.027177,0.029165,2.2077,0.029467,0.030850,0.027177
serial,b,250,100,5000000,1,0.330000,0.340000,1.0000,0.350000,0.340000,0.330000
atomic,b,250,100,5000000,1,1.475234,1.479439,0.2237,1.484835,1.475234,1.478248
atomic,b,250,100,5000000,2,1.498379,1.502126,0.2202,1.502228,1.498379,1.505771
atomic,b,250,100,5000000,4,0.926621,0.929392,0.3561,0.932508,0.929048,0.926621
atomic,b,250,100,5000000,8,0.524816,0.529288,0.6288,0.537326,0.524816,0.525722
atomic,b,250,100,5000000,16,0.576972,0.586770,0.5720,0.576972,0.593622,0.589715
reduction,b,250,100,5000000,1,0.327233,0.328899,1.0085,0.330718,0.328746,0.327233
reduction,b,250,100,5000000,2,0.175737,0.179112,1.8778,0.184948,0.176652,0.175737
reduction,b,250,100,5000000,4,0.094722,0.100240,3.4839,0.111134,0.094722,0.094864
reduction,b,250,100,5000000,8,0.051864,0.057992,6.3628,0.070040,0.052072,0.051864
reduction,b,250,100,5000000,16,0.120711,0.130279,2.7338,0.139458,0.130668,0.120711
reduction_unrolled,b,250,100,5000000,1,0.286471,0.290920,1.1519,0.291543,0.294746,0.286471
reduction_unrolled,b,250,100,5000000,2,0.146220,0.147360,2.2569,0.148635,0.147225,0.146220
reduction_unrolled,b,250,100,5000000,4,0.079959,0.086153,4.1271,0.098080,0.080421,0.079959
reduction_unrolled,b,250,100,5000000,8,0.045155,0.049890,7.3082,0.059230,0.045155,0.045285
reduction_unrolled,b,250,100,5000000,16,0.085626,0.112663,3.8540,0.126884,0.085626,0.125478
serial,c,500,200,3600000,1,0.360000,0.393333,1.0000,0.360000,0.440000,0.380000
atomic,c,500,200,3600000,1,1.126154,1.130849,0.3197,1.130525,1.135869,1.126154
atomic,c,500,200,3600000,2,0.960833,0.963263,0.3747,0.967898,0.960833,0.961057
atomic,c,500,200,3600000,4,0.632181,0.635537,0.5695,0.639245,0.635185,0.632181
atomic,c,500,200,3600000,8,0.369445,0.374960,0.9744,0.383276,0.372158,0.369445
atomic,c,500,200,3600000,16,0.399419,0.401293,0.9013,0.399419,0.401827,0.402632
