config,NX,NY,num_points,method,threads,serial_time_s,parallel_time_s,speedup,efficiency_pct
a,250,100,900000,atomic,1,0.060000,0.265379,0.2261,22.61
a,250,100,900000,atomic,2,0.060000,0.268997,0.2231,11.15
a,250,100,900000,atomic,4,0.060000,0.166910,0.3595,8.99
a,250,100,900000,atomic,8,0.060000,0.094795,0.6329,7.91
a,250,100,900000,atomic,16,0.060000,0.116152,0.5166,3.23
a,250,100,900000,reduction,1,0.060000,0.058824,1.0200,102.00
a,250,100,900000,reduction,2,0.060000,0.032775,1.8307,91.53
a,250,100,900000,reduction,4,0.060000,0.018444,3.2531,81.33
a,250,100,900000,reduction,8,0.060000,0.010443,5.7455,71.82
a,250,100,900000,reduction,16,0.060000,0.027470,2.1842,13.65
a,250,100,900000,reduction_unrolled,1,0.060000,0.050213,1.1949,119.49
a,250,100,900000,reduction_unrolled,2,0.060000,0.027188,2.2069,110.34
a,250,100,900000,reduction_unrolled,4,0.060000,0.015473,3.8777,96.94
a,250,100,900000,reduction_unrolled,8,0.060000,0.009041,6.6364,82.96
a,250,100,900000,reduction_unrolled,16,0.060000,0.027177,2.2077,13.80
b,250,100,5000000,atomic,1,0.330000,1.475234,0.2237,22.37
b,250,100,5000000,atomic,2,0.330000,1.498379,0.2202,11.01
b,250,100,5000000,atomic,4,0.330000,0.926621,0.3561,8.90
b,250,100,5000000,atomic,8,0.330000,0.524816,0.6288,7.86
b,250,100,5000000,atomic,16,0.330000,0.576972,0.5720,3.57
b,250,100,5000000,reduction,1,0.330000,0.327233,1.0085,100.85
b,250,100,5000000,reduction,2,0.330000,0.175737,1.8778,93.89
b,250,100,5000000,reduction,4,0.330000,0.094722,3.4839,87.10
b,250,100,5000000,reduction,8,0.330000,0.051864,6.3628,79.53
b,250,100,5000000,reduction,16,0.330000,0.120711,2.7338,17.09
b,250,100,5000000,reduction_unrolled,1,0.330000,0.286471,1.1519,115.19
b,250,100,5000000,reduction_unrolled,2,0.330000,0.146220,2.2569,112.84
b,250,100,5000000,reduction_unrolled,4,0.330000,0.079959,4.1271,103.18
b,250,100,5000000,reduction_unrolled,8,0.330000,0.045155,7.3082,91.35
b,250,100,5000000,reduction_unrolled,16,0.330000,0.085626,3.8540,24.09
c,500,200,3600000,atomic,1,0.360000,1.126154,0.3197,31.97
c,500,200,3600000,atomic,2,0.360000,0.960833,0.3747,18.73
c,500,200,3600000,atomic,4,0.360000,0.632181,0.5695,14.24
c,500,200,3600000,atomic,8,0.360000,0.369445,0.9744,12.18
c,500,200,3600000,atomic,16,0.360000,0.399419,0.9013,5.63
c,500,200,3600000,reduction,1,0.360000,0.369976,0.9730,97.30
c,500,200,3600000,reduction,2,0.360000,0.192625,1.8689,93.45
c,500,200,3600000,reduction,4,0.360000,0.102702,3.5053,87.63
c,500,200,3600000,reduction,8,0.360000,0.057124,6.3021,78.78
c,500,200,3600000,reduction,16,0.360000,0.118507,3.0378,18.99
c,500,200,3600000,reduction_unrolled,1,0.360000,0.282374,1.2749,127.49
c,500,200,3600000,reduction_unrolled,2,0.360000,0.146144,2.4633,123.17
c,500,200,3600000,reduction_unrolled,4,0.360000,0.077416,4.6502,116.26
c,500,200,3600000,reduction_unrolled,8,0.360000,0.044085,8.1660,102.08
c,500,200,3600000,reduction_unrolled,16,0.360000,0.090346,3.9847,24.90
d,500,200,20000000,atomic,1,2.080000,6.317881,0.3292,32.92
d,500,200,20000000,atomic,2,2.080000,5.366236,0.3876,19.38
d,500,200,20000000,atomic,4,2.080000,3.520191,0.5909,14.77
d,500,200,20000000,atomic,8,2.080000,2.076010,1.0019,12.52
d,500,200,20000000,atomic,16,2.080000,2.142306,0.9709,6.07
d,500,200,20000000,reduction,1,2.080000,2.054048,1.0126,101.26
d,500,200,20000000,reduction,2,2.080000,1.059669,1.9629,98.14
d,500,200,20000000,reduction,4,2.080000,0.557164,3.7332,93.33
d,500,200,20000000,reduction,8,2.080000,0.298144,6.9765,87.21
d,500,200,20000000,reduction,16,2.080000,0.282680,7.3581,45.99
d,500,200,20000000,reduction_unrolled,1,2.080000,1.494789,1.3915,139.15
d,500,200,20000000,reduction_unrolled,2,2.080000,0.779545,2.6682,133.41
d,500,200,20000000,reduction_unrolled,4,2.080000,0.414504,5.0180,125.45
d,500,200,20000000,reduction_unrolled,8,2.080000,0.226004,9.2034,115.04
d,500,200,20000000,reduction_unrolled,16,2.080000,0.264962,7.8502,49.06
e,1000,400,14000000,atomic,1,1.500000,4.391338,0.3416,34.16
e,1000,400,14000000,atomic,2,1.500000,3.331386,0.4503,22.51
e,1000,400,14000000,atomic,4,1.500000,2.047771,0.7325,18.31
e,1000,400,14000000,atomic,8,1.500000,1.216292,1.2333,15.42
e,1000,400,14000000,atomic,16,1.500000,1.455533,1.0306,6.44
e,1000,400,14000000,reduction,1,1.500000,1.506749,0.9955,99.55
e,1000,400,14000000,reduction,2,1.500000,0.791187,1.8959,94.79
e,1000,400,14000000,reduction,4,1.500000,0.531183,2.8239,70.60
e,1000,400,14000000,reduction,8,1.500000,0.494656,3.0324,37.91
e,1000,400,14000000,reduction,16,1.500000,0.365993,4.0984,25.62
e,1000,400,14000000,reduction_unrolled,1,1.500000,1.124691,1.3337,133.37
e,1000,400,14000000,reduction_unrolled,2,1.500000,0.608179,2.4664,123.32
e,1000,400,14000000,reduction_unrolled,4,1.500000,0.451705,3.3208,83.02
e,1000,400,14000000,reduction_unrolled,8,1.500000,0.515710,2.9086,36.36
e,1000,400,14000000,reduction_unrolled,16,1.500000,0.349559,4.2911,26.82
