method,config,threads,status,max_diff
atomic,a,1,EXACT,0.00e+00
atomic,a,2,EXACT,0.00e+00
atomic,a,4,EXACT,0.00e+00
atomic,a,8,EXACT,0.00e+00
reduction,a,1,EXACT,0.00e+00
reduction,a,2,EXACT,0.00e+00
reduction,a,4,EXACT,0.00e+00
reduction,a,8,EXACT,0.00e+00
reduction_unrolled,a,1,EXACT,0.00e+00
reduction_unrolled,a,2,EXACT,0.00e+00
reduction_unrolled,a,4,EXACT,0.00e+00
reduction_unrolled,a,8,EXACT,0.00e+00
atomic,b,1,EXACT,0.00e+00
atomic,b,2,EXACT,0.00e+00
atomic,b,4,EXACT,0.00e+00
atomic,b,8,EXACT,0.00e+00
reduction,b,1,EXACT,0.00e+00
reduction,b,2,EXACT,0.00e+00
reduction,b,4,EXACT,0.00e+00
reduction,b,8,EXACT,0.00e+00
reduction_unrolled,b,1,EXACT,0.00e+00
reduction_unrolled,b,2,EXACT,0.00e+00
reduction_unrolled,b,4,EXACT,0.00e+00
reduction_unrolled,b,8,EXACT,0.00e+00
atomic,c,1,EXACT,0.00e+00
atomic,c,2,EXACT,0.00e+00
atomic,c,4,EXACT,0.00e+00
atomic,c,8,EXACT,0.00e+00
reduction,c,1,EXACT,0.00e+00
reduction,c,2,EXACT,0.00e+00
reduction,c,4,EXACT,0.00e+00
reduction,c,8,EXACT,0.00e+00
reduction_unrolled,c,1,EXACT,0.00e+00
reduction_unrolled,c,2,EXACT,0.00e+00
reduction_unrolled,c,4,EXACT,0.00e+00
reduction_unrolled,c,8,EXACT,0.00e+00
atomic,d,1,EXACT,0.00e+00
atomic,d,2,EXACT,0.00e+00
atomic,d,4,EXACT,0.00e+00
atomic,d,8,EXACT,0.00e+00
reduction,d,1,EXACT,0.00e+00
reduction,d,2,EXACT,0.00e+00
reduction,d,4,EXACT,0.00e+00
reduction,d,8,EXACT,0.00e+00
reduction_unrolled,d,1,EXACT,0.00e+00
reduction_unrolled,d,2,EXACT,0.00e+00
reduction_unrolled,d,4,EXACT,0.00e+00
reduction_unrolled,d,8,EXACT,0.00e+00
atomic,e,1,EXACT,0.00e+00
atomic,e,2,EXACT,0.00e+00
atomic,e,4,EXACT,0.00e+00
atomic,e,8,EXACT,0.00e+00
reduction,e,1,EXACT,0.00e+00
reduction,e,2,EXACT,0.00e+00
reduction,e,4,EXACT,0.00e+00
reduction,e,8,EXACT,0.00e+00
reduction_unrolled,e,1,EXACT,0.00e+00
reduction_unrolled,e,2,EXACT,0.00e+00
reduction_unrolled,e,4,EXACT,0.00e+00
reduction_unrolled,e,8,EXACT,0.00e+00
