config,NX,NY,num_points,method,threads,efficiency_pct
a,250,100,900000,atomic,1,16.70
a,250,100,900000,atomic,2,7.20
a,250,100,900000,atomic,4,6.02
a,250,100,900000,atomic,8,5.05
a,250,100,900000,reduction,1,100.00
a,250,100,900000,reduction,2,54.30
a,250,100,900000,reduction,4,47.74
a,250,100,900000,reduction,8,36.87
a,250,100,900000,reduction_unrolled,1,106.98
a,250,100,900000,reduction_unrolled,2,65.62
a,250,100,900000,reduction_unrolled,4,55.54
a,250,100,900000,reduction_unrolled,8,40.08
b,250,100,5000000,atomic,1,16.46
b,250,100,5000000,atomic,2,7.15
b,250,100,5000000,atomic,4,5.95
b,250,100,5000000,atomic,8,4.94
b,250,100,5000000,reduction,1,95.98
b,250,100,5000000,reduction,2,54.22
b,250,100,5000000,reduction,4,50.13
b,250,100,5000000,reduction,8,45.14
b,250,100,5000000,reduction_unrolled,1,107.75
b,250,100,5000000,reduction_unrolled,2,67.57
b,250,100,5000000,reduction_unrolled,4,56.85
b,250,100,5000000,reduction_unrolled,8,46.69
c,500,200,3600000,atomic,1,18.24
c,500,200,3600000,atomic,2,8.34
c,500,200,3600000,atomic,4,6.55
c,500,200,3600000,atomic,8,5.44
c,500,200,3600000,reduction,1,100.21
c,500,200,3600000,reduction,2,49.55
c,500,200,3600000,reduction,4,45.88
c,500,200,3600000,reduction,8,37.02
c,500,200,3600000,reduction_unrolled,1,105.34
c,500,200,3600000,reduction_unrolled,2,51.64
c,500,200,3600000,reduction_unrolled,4,45.56
c,500,200,3600000,reduction_unrolled,8,36.72
d,500,200,20000000,atomic,1,18.42
d,500,200,20000000,atomic,2,8.41
d,500,200,20000000,atomic,4,6.57
d,500,200,20000000,atomic,8,5.40
d,500,200,20000000,reduction,1,101.71
d,500,200,20000000,reduction,2,53.00
d,500,200,20000000,reduction,4,51.60
d,500,200,20000000,reduction,8,45.68
d,500,200,20000000,reduction_unrolled,1,108.66
d,500,200,20000000,reduction_unrolled,2,56.99
d,500,200,20000000,reduction_unrolled,4,54.00
d,500,200,20000000,reduction_unrolled,8,47.52
e,1000,400,14000000,atomic,1,24.95
e,1000,400,14000000,atomic,2,14.46
e,1000,400,14000000,atomic,4,16.21
e,1000,400,14000000,atomic,8,13.24
e,1000,400,14000000,reduction,1,96.48
e,1000,400,14000000,reduction,2,54.74
e,1000,400,14000000,reduction,4,50.88
e,1000,400,14000000,reduction,8,10.74
e,1000,400,14000000,reduction_unrolled,1,70.98
e,1000,400,14000000,reduction_unrolled,2,52.69
e,1000,400,14000000,reduction_unrolled,4,49.77
e,1000,400,14000000,reduction_unrolled,8,11.04
