method,config,NX,NY,num_points,threads,best_time_s,avg_time_s,speedup_vs_serial,run1_s,run2_s,run3_s
serial,a,250,100,900000,1,0.026774,0.027844,1.0000,0.029470,0.027288,0.026774
atomic,a,250,100,900000,1,0.160328,0.165175,0.1670,0.163045,0.160328,0.172153
atomic,a,250,100,900000,2,0.185814,0.186684,0.1441,0.188008,0.186230,0.185814
atomic,a,250,100,900000,4,0.111213,0.112841,0.2407,0.113714,0.111213,0.113596
atomic,a,250,100,900000,8,0.066215,0.066733,0.4043,0.066215,0.066394,0.067590
reduction,a,250,100,900000,1,0.026773,0.027106,1.0000,0.026773,0.026873,0.027673
reduction,a,250,100,900000,2,0.024653,0.024880,1.0860,0.024653,0.025160,0.024826
reduction,a,250,100,900000,4,0.014021,0.014413,1.9096,0.015010,0.014208,0.014021
reduction,a,250,100,900000,8,0.009078,0.009122,2.9493,0.009208,0.009079,0.009078
reduction_unrolled,a,250,100,900000,1,0.025026,0.025480,1.0698,0.025708,0.025026,0.025705
reduction_unrolled,a,250,100,900000,2,0.020402,0.021036,1.3123,0.021588,0.020402,0.021117
reduction_unrolled,a,250,100,900000,4,0.012051,0.014171,2.2217,0.013998,0.016464,0.012051
reduction_unrolled,a,250,100,900000,8,0.008351,0.008404,3.2061,0.008430,0.008430,0.008351
serial,b,250,100,5000000,1,0.146756,0.148252,1.0000,0.148917,0.149082,0.146756
atomic,b,250,100,5000000,1,0.891784,0.903076,0.1646,0.891784,0.910556,0.906889
atomic,b,250,100,5000000,2,1.026812,1.056612,0.1429,1.026812,1.062994,1.080030
atomic,b,250,100,5000000,4,0.616490,0.619278,0.2381,0.621562,0.616490,0.619781
atomic,b,250,100,5000000,8,0.371047,0.374997,0.3955,0.371047,0.382502,0.371441
reduction,b,250,100,5000000,1,0.152895,0.156357,0.9598,0.152895,0.159330,0.156847
reduction,b,250,100,5000000,2,0.135335,0.136921,1.0844,0.135335,0.135852,0.139575
reduction,b,250,100,5000000,4,0.073186,0.075570,2.0052,0.073186,0.079042,0.074482
reduction,b,250,100,5000000,8,0.040637,0.041125,3.6114,0.041523,0.041214,0.040637
reduction_unrolled,b,250,100,5000000,1,0.136201,0.136664,1.0775,0.136420,0.136201,0.137370
reduction_unrolled,b,250,100,5000000,2,0.108592,0.114911,1.3514,0.108592,0.116543,0.119598
reduction_unrolled,b,250,100,5000000,4,0.064542,0.067062,2.2738,0.069468,0.067177,0.064542
reduction_unrolled,b,250,100,5000000,8,0.039289,0.039548,3.7353,0.039289,0.039627,0.039729
serial,c,500,200,3600000,1,0.119195,0.121212,1.0000,0.124390,0.120050,0.119195
atomic,c,500,200,3600000,1,0.653653,0.658511,0.1824,0.659180,0.653653,0.662699
atomic,c,500,200,3600000,2,0.714346,0.717736,0.1669,0.714346,0.716366,0.722495
atomic,c,500,200,3600000,4,0.455000,0.456476,0.2620,0.455980,0.458447,0.455000
atomic,c,500,200,3600000,8,0.274062,0.275090,0.4349,0.274062,0.274806,0.276402
reduction,c,500,200,3600000,1,0.118945,0.121588,1.0021,0.124989,0.120830,0.118945
reduction,c,500,200,3600000,2,0.120267,0.122466,0.9911,0.120267,0.122851,0.124281
reduction,c,500,200,3600000,4,0.064953,0.067332,1.8351,0.067406,0.069636,0.064953
reduction,c,500,200,3600000,8,0.040248,0.040979,2.9615,0.040248,0.040280,0.042410
reduction_unrolled,c,500,200,3600000,1,0.113156,0.113459,1.0534,0.113465,0.113156,0.113757
reduction_unrolled,c,500,200,3600000,2,0.115418,0.129227,1.0327,0.137969,0.134294,0.115418
reduction_unrolled,c,500,200,3600000,4,0.065400,0.065897,1.8226,0.065400,0.066023,0.066269
reduction_unrolled,c,500,200,3600000,8,0.040581,0.040839,2.9372,0.040581,0.040771,0.041166
serial,d,500,200,20000000,1,0.654630,0.656326,1.0000,0.658348,0.654630,0.655999
atomic,d,500,200,20000000,1,3.553167,3.563154,0.1842,3.575508,3.560786,3.553167
atomic,d,500,200,20000000,2,3.892221,3.897362,0.1682,3.903489,3.892221,3.896375
atomic,d,500,200,20000000,4,2.489530,2.496884,0.2630,2.491850,2.489530,2.509272
atomic,d,500,200,20000000,8,1.514419,1.516983,0.4323,1.519258,1.514419,1.517273
reduction,d,500,200,20000000,1,0.643601,0.647112,1.0171,0.652855,0.644880,0.643601
reduction,d,500,200,20000000,2,0.617530,0.623726,1.0601,0.628326,0.617530,0.625321
reduction,d,500,200,20000000,4,0.317162,0.323390,2.0640,0.327697,0.325312,0.317162
reduction,d,500,200,20000000,8,0.179154,0.181325,3.6540,0.185424,0.179396,0.179154
reduction_unrolled,d,500,200,20000000,1,0.602447,0.604598,1.0866,0.608825,0.602447,0.602522
reduction_unrolled,d,500,200,20000000,2,0.574324,0.589087,1.1398,0.599043,0.574324,0.593895
reduction_unrolled,d,500,200,20000000,4,0.303080,0.308451,2.1599,0.304896,0.317377,0.303080
reduction_unrolled,d,500,200,20000000,8,0.172192,0.174070,3.8017,0.176524,0.172192,0.173495
serial,e,1000,400,14000000,1,1.022386,1.030674,1.0000,1.045689,1.022386,1.023946
atomic,e,1000,400,14000000,1,4.098279,4.113087,0.2495,4.098279,4.120525,4.120456
atomic,e,1000,400,14000000,2,3.535435,3.537025,0.2892,3.538445,3.535435,3.537195
atomic,e,1000,400,14000000,4,1.576931,1.579312,0.6483,1.580447,1.580559,1.576931
atomic,e,1000,400,14000000,8,0.965160,0.979990,1.0593,0.980527,0.965160,0.994284
reduction,e,1000,400,14000000,1,1.059737,1.064121,0.9648,1.066268,1.059737,1.066358
reduction,e,1000,400,14000000,2,0.933842,0.938874,1.0948,0.947234,0.933842,0.935547
reduction,e,1000,400,14000000,4,0.502376,0.508417,2.0351,0.512629,0.502376,0.510247
reduction,e,1000,400,14000000,8,1.189635,1.200053,0.8594,1.206210,1.189635,1.204314
