config,NX,NY,num_points,method,threads,serial_time_s,parallel_time_s,speedup,efficiency_pct
a,250,100,900000,atomic,1,0.026774,0.160328,0.1670,16.70
a,250,100,900000,atomic,2,0.026774,0.185814,0.1441,7.20
a,250,100,900000,atomic,4,0.026774,0.111213,0.2407,6.02
a,250,100,900000,atomic,8,0.026774,0.066215,0.4043,5.05
a,250,100,900000,reduction,1,0.026774,0.026773,1.0000,100.00
a,250,100,900000,reduction,2,0.026774,0.024653,1.0860,54.30
a,250,100,900000,reduction,4,0.026774,0.014021,1.9096,47.74
a,250,100,900000,reduction,8,0.026774,0.009078,2.9493,36.87
a,250,100,900000,reduction_unrolled,1,0.026774,0.025026,1.0698,106.98
a,250,100,900000,reduction_unrolled,2,0.026774,0.020402,1.3123,65.62
a,250,100,900000,reduction_unrolled,4,0.026774,0.012051,2.2217,55.54
a,250,100,900000,reduction_unrolled,8,0.026774,0.008351,3.2061,40.08
b,250,100,5000000,atomic,1,0.146756,0.891784,0.1646,16.46
b,250,100,5000000,atomic,2,0.146756,1.026812,0.1429,7.15
b,250,100,5000000,atomic,4,0.146756,0.616490,0.2381,5.95
b,250,100,5000000,atomic,8,0.146756,0.371047,0.3955,4.94
b,250,100,5000000,reduction,1,0.146756,0.152895,0.9598,95.98
b,250,100,5000000,reduction,2,0.146756,0.135335,1.0844,54.22
b,250,100,5000000,reduction,4,0.146756,0.073186,2.0052,50.13
b,250,100,5000000,reduction,8,0.146756,0.040637,3.6114,45.14
b,250,100,5000000,reduction_unrolled,1,0.146756,0.136201,1.0775,107.75
b,250,100,5000000,reduction_unrolled,2,0.146756,0.108592,1.3514,67.57
b,250,100,5000000,reduction_unrolled,4,0.146756,0.064542,2.2738,56.85
b,250,100,5000000,reduction_unrolled,8,0.146756,0.039289,3.7353,46.69
c,500,200,3600000,atomic,1,0.119195,0.653653,0.1824,18.24
c,500,200,3600000,atomic,2,0.119195,0.714346,0.1669,8.34
c,500,200,3600000,atomic,4,0.119195,0.455000,0.2620,6.55
c,500,200,3600000,atomic,8,0.119195,0.274062,0.4349,5.44
c,500,200,3600000,reduction,1,0.119195,0.118945,1.0021,100.21
c,500,200,3600000,reduction,2,0.119195,0.120267,0.9911,49.55
c,500,200,3600000,reduction,4,0.119195,0.064953,1.8351,45.88
c,500,200,3600000,reduction,8,0.119195,0.040248,2.9615,37.02
c,500,200,3600000,reduction_unrolled,1,0.119195,0.113156,1.0534,105.34
c,500,200,3600000,reduction_unrolled,2,0.119195,0.115418,1.0327,51.64
c,500,200,3600000,reduction_unrolled,4,0.119195,0.065400,1.8226,45.56
c,500,200,3600000,reduction_unrolled,8,0.119195,0.040581,2.9372,36.72
d,500,200,20000000,atomic,1,0.654630,3.553167,0.1842,18.42
d,500,200,20000000,atomic,2,0.654630,3.892221,0.1682,8.41
d,500,200,20000000,atomic,4,0.654630,2.489530,0.2630,6.57
d,500,200,20000000,atomic,8,0.654630,1.514419,0.4323,5.40
d,500,200,20000000,reduction,1,0.654630,0.643601,1.0171,101.71
d,500,200,20000000,reduction,2,0.654630,0.617530,1.0601,53.00
d,500,200,20000000,reduction,4,0.654630,0.317162,2.0640,51.60
d,500,200,20000000,reduction,8,0.654630,0.179154,3.6540,45.68
d,500,200,20000000,reduction_unrolled,1,0.654630,0.602447,1.0866,108.66
d,500,200,20000000,reduction_unrolled,2,0.654630,0.574324,1.1398,56.99
d,500,200,20000000,reduction_unrolled,4,0.654630,0.303080,2.1599,54.00
d,500,200,20000000,reduction_unrolled,8,0.654630,0.172192,3.8017,47.52
e,1000,400,14000000,atomic,1,1.022386,4.098279,0.2495,24.95
e,1000,400,14000000,atomic,2,1.022386,3.535435,0.2892,14.46
e,1000,400,14000000,atomic,4,1.022386,1.576931,0.6483,16.21
e,1000,400,14000000,atomic,8,1.022386,0.965160,1.0593,13.24
e,1000,400,14000000,reduction,1,1.022386,1.059737,0.9648,96.48
e,1000,400,14000000,reduction,2,1.022386,0.933842,1.0948,54.74
e,1000,400,14000000,reduction,4,1.022386,0.502376,2.0351,50.88
e,1000,400,14000000,reduction,8,1.022386,1.189635,0.8594,10.74
e,1000,400,14000000,reduction_unrolled,1,1.022386,1.440384,0.7098,70.98
e,1000,400,14000000,reduction_unrolled,2,1.022386,0.970228,1.0538,52.69
e,1000,400,14000000,reduction_unrolled,4,1.022386,0.513507,1.9910,49.77
e,1000,400,14000000,reduction_unrolled,8,1.022386,1.157866,0.8830,11.04
