ProblemSize,E2ETime,AlgoTime
2,0.0001186781508064662,4.509117185971198e-05
4,3.405235046949504e-06,1.4546428711062203e-06
8,9.861343302079817e-06,5.439046220547992e-06
16,2.716171069329827e-05,1.2807408987537e-05
32,9.233301066482579e-05,3.8345577919702714e-05
64,0.0004371329922602357,0.00020960744620659384
128,0.0024114675208733354,0.001550308344376858
256,0.016025864014737032,0.012731054725648696
512,0.08901241458757,0.07278806320242827
1024,0.44365731605142394,0.41132354935895227
2048,5.798297622030781,5.508382740929242
4096,47.67070326284755,45.28716809970518
