ProblemSize,E2ETime,AlgoTime
2,9.895155497848546e-07,9.965076875103652e-08
4,7.553132897105046e-07,1.2643304489567276e-07
8,2.55742372605816e-06,4.157794004392926e-07
16,1.2389993170007186e-05,2.8992906776495306e-06
32,6.189584083231198e-05,2.4864713236725232e-05
64,0.00030619400145272843,0.0001692286282484426
128,0.0017995526579134625,0.0012422024109872345
256,0.013411126093217225,0.01114623303313545
512,0.08649676633868658,0.0787391414307612
1024,0.6898251111798265,0.6553338556208351
2048,12.224294846612208,11.613080104281597
4096,103.80297908404357,98.61283012984138
