ProblemSize,E2ETime,AlgoTime
2,1.170651992221627e-06,1.326593543271258e-07
4,9.658235414235354e-07,1.6570683567606557e-07
8,2.7046135529956643e-06,4.2863170993908743e-07
16,1.2891161067277475e-05,2.564415001827325e-06
32,5.842420464922598e-05,2.188323293221736e-05
64,0.00028316527831961566,0.00014371290538058387
128,0.0016923791375538927,0.0010692305344098486
256,0.011845322322335573,0.009655854044801111
512,0.07545709568471085,0.0716842409004753
1024,0.6162645811394933,0.5654058004392902
2048,10.94536846913529,10.398100045678525
4096,88.78831635097222,84.3489005334236
