ProblemSize,E2ETime,AlgoTime
2,2.6244432350223477e-06,1.2452006441402208e-06
4,1.4223062091259111e-06,5.538587680117826e-07
8,5.3818406890521454e-06,9.559257907104599e-07
16,1.8303882492045004e-05,5.416378790785807e-06
32,5.619158640950812e-05,1.3001393955962485e-05
64,0.0002218639453803056,7.087974908946103e-05
128,0.0013395479784788415,0.0005348591893349112
256,0.006417565172856918,0.003718679911335649
512,0.033529482164074684,0.023748875551042686
1024,0.22272428159514787,0.19730503089567156
2048,2.893817259556049,2.5580434145199917
4096,28.034839796252843,26.6330978064402
